SampleID	SampleType	subject_id	sow_id	host_species	study_day	current_antibiotics	sow_parity	type_of_antibiotic	date_collected	pen_id	mass_g	plate_row	plate_col	plate	tube_id_aliquot	tube_id	extract_id	extract_date	dna_ng_ul	nextera_date	udi	dna_coord	index_coord	lib_ng_ul	reprep	reprep_ng_ul	final_lib_ng_ul	miniseq_pct
Pig-55412-4-RecSwb-D4_S155	Rectal swab	55412.4	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	E	11	2	NA	21	P2.85	6/14/22	267.3	7/19/22	Set B REF 20026930	E11	E11	2.8	No	NA	2.8	0.21
Pig-55412-4-RecSwb-D7_S132	Rectal swab	55412.4	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	C	12	2	NA	35	P2.91	6/14/22	208.2	7/19/22	Set B REF 20026930	C12	C12	0.3	Yes	4.6	4.6	0.16
Pig-55412-5-RecSwb-D14_S205	Rectal swab	55412.5	55412	Pig	Day 14	Yes	4	Sow given Naxcel	9/11/20	55412	NA	B	1	3	NA	50	P3.2	6/14/22	87.9	8/2/22	Set C REF 20026934	B01	B01	6	No	NA	6	0.14
Pig-55412-5-RecSwb-D2_S190	Rectal swab	55412.5	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	H	10	2	NA	8	P2.80	6/14/22	35.2	7/19/22	Set B REF 20026930	H10	H10	1.4	No	NA	1.4	0.25
Pig-55412-5-RecSwb-D21_S277	Rectal swab	55412.5	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	H	1	3	NA	65	P3.8	6/14/22	59.9	8/2/22	Set C REF 20026934	H01	H01	4	No	NA	4	0.1
Pig-55412-5-RecSwb-D4_S167	Rectal swab	55412.5	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	F	11	2	NA	22	P2.86	6/14/22	26.4	7/19/22	Set B REF 20026930	F11	F11	3.6	No	NA	3.6	0.31
Pig-55412-5-RecSwb-D7_S144	Rectal swab	55412.5	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	D	12	2	NA	36	P2.92	6/14/22	81.2	7/19/22	Set B REF 20026930	D12	D12	2.3	No	NA	2.3	0.23
Pig-55412-6-RecSwb-D14_S217	Rectal swab	55412.6	55412	Pig	Day 14	Yes	4	Sow given Naxcel	9/11/20	55412	NA	C	1	3	NA	51	P3.3	6/14/22	157.2	8/2/22	Set C REF 20026934	C01	C01	5.5	No	NA	5.5	0.23
Pig-55412-6-RecSwb-D2_S107	Rectal swab	55412.6	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	A	11	2	NA	9	P2.81	6/14/22	23.2	7/19/22	Set B REF 20026930	A11	A11	12.5	No	NA	12.5	0.21
Pig-55412-6-RecSwb-D21_S194	Rectal swab	55412.6	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	A	2	3	NA	66	P3.9	6/14/22	123.3	8/2/22	Set C REF 20026934	A02	A02	2.7	No	NA	2.7	0.12
Pig-55412-6-RecSwb-D4_S179	Rectal swab	55412.6	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	G	11	2	NA	23	P2.87	6/14/22	142	7/19/22	Set B REF 20026930	G11	G11	2.9	No	NA	2.9	0.15
Pig-55412-6-RecSwb-D7_S156	Rectal swab	55412.6	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	E	12	2	NA	37	P2.93	6/14/22	22.7	7/19/22	Set B REF 20026930	E12	E12	2.2	No	NA	2.2	0.14
Pig-55412-crpfdr-D14_S321	Creep feeder	NA	NA	Pig	Day 14	Yes	NA	Sow given Naxcel	9/11/20	55412	NA	C	9	4	NA	60	P4.67	6/17/22	20.4	8/10/22	Set D REF 20026933	C09	C09	1.2	No	NA	1.2	0.17
Pig-55412-Feces-D14-52-A_S63	Feces	55412	55412	Pig	Day 14	Yes	4	Naxcel	9/11/20	55412	0.3065	F	3	1	52.A	52	P1.22	6/7/22	394.9	7/14/22	Set A REF 20025019	F03	F03	0.9	Yes	3	3	0.4
Pig-55412-Feces-D2-10-A_S27	Feces	55412	55412	Pig	Day 2	No	4	NA	8/30/20	55412	0.2471	C	3	1	10.A	10	P1.19	6/7/22	220.3	7/14/22	Set A REF 20025019	C03	C03	4.1	No	NA	4.1	0.29
Pig-55412-Feces-D21-67-B_S87	Feces	55412	55412	Pig	Day 21	Yes	4	Naxcel	9/18/20	55412	0.3729	H	3	1	67.B	67	P1.24	6/7/22	314.1	7/14/22	Set A REF 20025019	H03	A10	0.1	Yes	4.7	4.7	0.19
Pig-55412-Feces-D4-24-A_S39	Feces	55412	55412	Pig	Day 4	Yes	4	Naxcel	9/1/20	55412	0.1733	D	3	1	24.A	24	P1.20	6/7/22	380.3	7/14/22	Set A REF 20025019	D03	D03	7.5	No	NA	7.5	0.21
Pig-55412-Feces-D7-38-A_S51	Feces	55412	55412	Pig	Day 7	Yes	4	Naxcel	9/4/20	55412	0.2969	E	3	1	38.A	38	P1.21	6/7/22	334.9	7/14/22	Set A REF 20025019	E03	E03	1.4	No	NA	1.4	0.27
Pig-55412-Feed-D2_S358	Sow Feed	NA	NA	Pig	Day 2	No	NA	NA	8/30/20	55412	NA	F	10	4	NA	3	P4.78	6/17/22	29.8	8/10/22	Set D REF 20026933	F10	F10	5	No	NA	5	0.17
Pig-55412-Floor-D14	Floor	NA	NA	Pig	Day 14	Yes	NA	Sow given Naxcel	9/11/20	55412	NA	H	11	4	NA	59	P4.88		4.9	8/10/22	Set D REF 20026933	H11	H11	0	Yes	0.1	0.1	0
Pig-55412-vaginalswab-D1_S319	Vaginal swab	55412	55412	Pig	Day 1	No	4	NA	8/29/20	55412	NA	C	7	4	NA	2	P4.51	6/17/22	390.8	8/10/22	Set D REF 20026933	C07	C07	3.8	No	NA	3.8	0.34
Pig-55412-vaginalswab-Dneg1_S307	Vaginal swab	55412	55412	Pig	Day -1	No	4	NA	8/27/20	55412	NA	B	7	4	NA	1	P4.50	6/17/22	566.6	8/10/22	Set D REF 20026933	B07	B07	10.2	No	NA	10.2	0.28
Pig-55415-1-RecSwb-D14_S113	Rectal swab	55415.1	55415	Pig	Day 14	No	4	NA	9/10/20	55415	NA	B	5	2	NA	120	P2.34	6/13/22	74.3	7/19/22	Set B REF 20026930	B05	B05	6.9	No	NA	6.9	0.22
Pig-55415-1-RecSwb-D2_S170	Rectal swab	55415.1	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	G	2	2	NA	78	P2.15	6/13/22	-0.1	7/19/22	Set B REF 20026930	G02	G02	5.6	No	NA	5.6	0.35
Pig-55415-1-RecSwb-D21_S173	Rectal swab	55415.1	55415	Pig	Day 21	No	4	NA	9/17/20	55415	NA	G	5	2	NA	135	P2.39	6/13/22	135	7/19/22	Set B REF 20026930	G05	G05	4.7	No	NA	4.7	0.27
Pig-55415-1-RecSwb-D4_S147	Rectal swab	55415.1	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	E	3	2	NA	92	P2.21	6/13/22	48.8	7/19/22	Set B REF 20026930	E03	E03	4.9	No	NA	4.9	0.45
Pig-55415-1-RecSwb-D7_S136	Rectal swab	55415.1	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	D	4	2	NA	106	P2.28	6/13/22	58.1	7/19/22	Set B REF 20026930	D04	D04	6.4	No	NA	6.4	0.11
Pig-55415-2-RecSwb-D14_S125	Rectal swab	55415.2	55415	Pig	Day 14	No	4	NA	9/10/20	55415	NA	C	5	2	NA	121	P2.35	6/13/22	42.8	7/19/22	Set B REF 20026930	C05	C05	12.9	No	NA	12.9	0.23
Pig-55415-2-RecSwb-D2_S182	Rectal swab	55415.2	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	H	2	2	NA	79	P2.16	6/13/22	5.8	7/19/22	Set B REF 20026930	H02	H02	10.9	No	NA	10.9	0.19
Pig-55415-2-RecSwb-D21_S185	Rectal swab	55415.2	55415	Pig	Day 21	No	4	NA	9/17/20	55415	NA	H	5	2	NA	136	P2.40	6/13/22	44.6	7/19/22	Set B REF 20026930	H05	H05	0.3	Yes	8.7	8.7	0.14
Pig-55415-2-RecSwb-D4_S159	Rectal swab	55415.2	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	F	3	2	NA	93	P2.22	6/13/22	209.8	7/19/22	Set B REF 20026930	F03	F03	8.2	No	NA	8.2	0.11
Pig-55415-2-RecSwb-D7_S148	Rectal swab	55415.2	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	E	4	2	NA	107	P2.29	6/13/22	101.7	7/19/22	Set B REF 20026930	E04	E04	7.2	No	NA	7.2	0.27
Pig-55415-3-RecSwb-D2_S99	Rectal swab	55415.3	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	A	3	2	NA	80	P2.17	6/13/22	17.5	7/19/22	Set B REF 20026930	A03	A03	1.9	No	NA	1.9	0.5
Pig-55415-3-RecSwb-D4_S171	Rectal swab	55415.3	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	G	3	2	NA	94	P2.23	6/13/22	24.5	7/19/22	Set B REF 20026930	G03	G03	6.9	No	NA	6.9	0.23
Pig-55415-3-RecSwb-D7_S160	Rectal swab	55415.3	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	F	4	2	NA	108	P2.30	6/13/22	23.4	7/19/22	Set B REF 20026930	F04	F04	3.5	No	NA	3.5	0.21
Pig-55415-4-RecSwb-D14_S137	Rectal swab	55415.4	55415	Pig	Day 14	No	4	NA	9/10/20	55415	NA	D	5	2	NA	123	P2.36	6/13/22	225.8	7/19/22	Set B REF 20026930	D05	D05	4.8	No	NA	4.8	0.2
Pig-55415-4-RecSwb-D2_S111	Rectal swab	55415.4	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	B	3	2	NA	81	P2.18	6/13/22	40.1	7/19/22	Set B REF 20026930	B03	B03	9.4	No	NA	9.4	0.37
Pig-55415-4-RecSwb-D21_S102	Rectal swab	55415.4	55415	Pig	Day 21	No	4	NA	9/17/20	55415	NA	A	6	2	NA	138	P2.41	6/13/22	50.6	7/19/22	Set B REF 20026930	A06	A06	7.2	No	NA	7.2	0.19
Pig-55415-4-RecSwb-D4_S183	Rectal swab	55415.4	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	H	3	2	NA	95	P2.24	6/13/22	30.8	7/19/22	Set B REF 20026930	H03	H03	2.8	No	NA	2.8	0.2
Pig-55415-4-RecSwb-D7_S172	Rectal swab	55415.4	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	G	4	2	NA	109	P2.31	6/13/22	103.3	7/19/22	Set B REF 20026930	G04	G04	6.4	No	NA	6.4	0.19
Pig-55415-5-RecSwb-D14_S149	Rectal swab	55415.5	55415	Pig	Day 14	No	4	NA	9/10/20	55415	NA	E	5	2	NA	124	P2.37	6/13/22	199	7/19/22	Set B REF 20026930	E05	E05	2.8	No	NA	2.8	0.23
Pig-55415-5-RecSwb-D2_S123	Rectal swab	55415.5	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	C	3	2	NA	82	P2.19	6/13/22	4.2	7/19/22	Set B REF 20026930	C03	C03	5.9	No	NA	5.9	0.39
Pig-55415-5-RecSwb-D21_S114	Rectal swab	55415.5	55415	Pig	Day 21	No	4	NA	9/17/20	55415	NA	B	6	2	NA	139	P2.42	6/13/22	307.5	7/19/22	Set B REF 20026930	B06	B06	1.2	No	NA	1.2	0.18
Pig-55415-5-RecSwb-D4_S100	Rectal swab	55415.5	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	A	4	2	NA	96	P2.25	6/13/22	209.8	7/19/22	Set B REF 20026930	A04	A04	6.9	No	NA	6.9	0.32
Pig-55415-5-RecSwb-D7_S184	Rectal swab	55415.5	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	H	4	2	NA	110	P2.32	6/13/22	135.6	7/19/22	Set B REF 20026930	H04	H04	6.1	No	NA	6.1	0.26
Pig-55415-6-RecSwb-D14_S161	Rectal swab	55415.6	55415	Pig	Day 14	No	4	NA	9/10/20	55415	NA	F	5	2	NA	125	P2.38	6/13/22	86.1	7/19/22	Set B REF 20026930	F05	F05	9.3	No	NA	9.3	0.21
Pig-55415-6-RecSwb-D2_S135	Rectal swab	55415.6	55415	Pig	Day 2	No	4	NA	8/29/20	55415	NA	D	3	2	NA	83	P2.20	6/13/22	76.5	7/19/22	Set B REF 20026930	D03	D03	9.7	No	NA	9.7	0.13
Pig-55415-6-RecSwb-D21_S126	Rectal swab	55415.6	55415	Pig	Day 21	No	4	NA	9/17/20	55415	NA	C	6	2	NA	140	P2.43	6/13/22	82	7/19/22	Set B REF 20026930	C06	C06	0.1	Yes	0.2	0.2	0.06
Pig-55415-6-RecSwb-D4_S124	Rectal swab	55415.6	55415	Pig	Day 4	No	4	NA	8/31/20	55415	NA	C	4	2	NA	97	P2.27	6/13/22	87.6	7/19/22	Set B REF 20026930	C04	C04	2	No	NA	2	0.2
Pig-55415-6-RecSwb-D7_S101	Rectal swab	55415.6	55415	Pig	Day 7	No	4	NA	9/3/20	55415	NA	A	5	2	NA	111	P2.33	6/13/22	6.15	7/19/22	Set B REF 20026930	A05	A05	0.5	Yes	8.1	8.1	0.37
Pig-55415-crpfdr-D14_S297	Creep feeder	NA	NA	Pig	Day 14	No	NA	NA	9/10/20	55415	NA	A	9	4	NA	134	P4.65	6/17/22	172.9	8/10/22	Set D REF 20026933	A09	A09	4	No	NA	4	0.21
Pig-55415-Feces-D14-126-A_S38	Feces	55415	55415	Pig	Day 14	No	4	NA	9/10/20	55415	0.1346	D	2	1	126.A	126	P1.12	6/7/22	216.4	7/14/22	Set A REF 20025019	D02	D02	12.1	No	NA	12.1	0.44
Pig-55415-Feces-D2-84-A_S2	Feces	55415	55415	Pig	Day 2	No	4	NA	8/29/20	55415	0.1844	A	2	1	84.A	84	P1.9	6/7/22	282.6	7/14/22	Set A REF 20025019	A02	A02	12.3	No	NA	12.3	0.18
Pig-55415-Feces-D21.141.A	Feces	55415	55415	Pig	Day 21	No	4	NA	9/17/20	55415	0.1745	E	2	1	141.A	141	P1.13	6/7/22	261	7/14/22	Set A REF 20025019	E02	E02	7.6	No	NA	7.6	0.25
Pig-55415-Feces-D4-98-A_S14	Feces	55415	55415	Pig	Day 4	No	4	NA	8/31/20	55415	0.1376	B	2	1	98.A	98	P1.10	6/7/22	364.2	7/14/22	Set A REF 20025019	B02	B02	12.6	No	NA	12.6	0.36
Pig-55415-Feces-D7-112-A_S26	Feces	55415	55415	Pig	Day 7	No	4	NA	9/3/20	55415	0.1727	C	2	1	112.A	112	P1.11	6/7/22	214.1	7/14/22	Set A REF 20025019	C02	C02	5	No	NA	5	0.29
Pig-55415-Feed-D2_S334	Sow Feed	NA	NA	Pig	Day 2	No	NA	NA	8/29/20	55415	NA	D	10	4	NA	77	P4.76	6/17/22	90.4	8/10/22	Set D REF 20026933	D10	D10	7.6	No	NA	7.6	0.34
Pig-55415-Floor-D14_S359	Floor	NA	NA	Pig	Day 14	No	NA	NA	9/10/20	55415	NA	F	11	4	NA	133	P4.86		1.67	8/10/22	Set D REF 20026933	F11	F11	3.8	No	NA	3.8	0.17
Pig-55415-vaginalswab-D1_S365	Vaginal swab	55415	55415	Pig	Day 1	No	4	NA	8/28/20	55415	NA	G	6	4	NA	76	P4.47	6/17/22	-0.2	8/10/22	Set D REF 20026933	G06	G06	2.6	No	NA	2.6	0.12
Pig-55415-vaginalswab-Dneg1_S354	Vaginal swab	55415	55415	Pig	Day -1	No	4	NA	8/26/20	55415	NA	F	6	4	NA	75	P4.46	6/17/22	453	8/10/22	Set D REF 20026933	F06	F06	1.5	No	NA	1.5	0.16
Pig-55450-1-RecSwb-D14_S303	Rectal swab	55450.1	55450	Pig	Day 14	No	3	NA	9/12/20	55450	NA	B	3	4	NA	712	P4.18	6/16/22	30.7	8/10/22	Set D REF 20026933	B03	B03	6	No	NA	6	0.27
Pig-55450-1-RecSwb-D2_S288	Rectal swab	55450.1	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	H	12	3	NA	670	P3.96	6/15/22	26.2	8/2/22	Set C REF 20026934	H12	H12	2.5	No	NA	2.5	0.14
Pig-55450-1-RecSwb-D21_S362	Rectal swab	55450.1	55450	Pig	Day 21	No	3	NA	9/19/20	55450	NA	G	3	4	NA	727	P4.23	6/16/22	21.7	8/10/22	Set D REF 20026933	G03	G03	8.7	No	NA	8.7	0.43
Pig-55450-1-RecSwb-D4_S349	Rectal swab	55450.1	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	F	1	4	NA	684	P4.6	6/16/22	37.4	8/10/22	Set D REF 20026933	F01	F01	0	Yes	7.4	7.4	0.11
Pig-55450-1-RecSwb-D7_S338	Rectal swab	55450.1	55450	Pig	Day 7	No	3	NA	9/5/20	55450	NA	E	2	4	NA	698	P4.13	6/16/22	22.6	8/10/22	Set D REF 20026933	E02	E02	0.1	Yes	7	7	0.29
Pig-55450-2-RecSwb-D14_S315	Rectal swab	55450.2	55450	Pig	Day 14	No	3	NA	9/12/20	55450	NA	C	3	4	NA	713	P4.19	6/16/22	58.5	8/10/22	Set D REF 20026933	C03	C03	6.7	No	NA	6.7	0.17
Pig-55450-2-RecSwb-D2_S289	Rectal swab	55450.2	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	A	1	4	NA	671	P4.1	6/16/22	62.9	8/10/22	Set D REF 20026933	A01	A01	0.8	Yes	4.4	4.4	0.47
Pig-55450-2-RecSwb-D21_S373	Rectal swab	55450.2	55450	Pig	Day 21	No	3	NA	9/19/20	55450	NA	H	3	4	NA	728	P4.24	6/16/22	15.4	8/10/22	Set D REF 20026933	H03	H03	0.1	Yes	2.2	2.2	0.14
Pig-55450-2-RecSwb-D4_S360	Rectal swab	55450.2	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	G	1	4	NA	685	P4.7	6/16/22	16.3	8/10/22	Set D REF 20026933	G01	G01	0.1	Yes	1.9	1.9	0.17
Pig-55450-2-RecSwb-D7_S350	Rectal swab	55450.2	55450	Pig	Day 7	No	3	NA	9/5/20	55450	NA	F	2	4	NA	699	P4.14	6/16/22	81.1	8/10/22	Set D REF 20026933	F02	F02	0.1	Yes	9.7	9.7	0.41
Pig-55450-3-RecSwb-D14_S327	Rectal swab	55450.3	55450	Pig	Day 14	No	3	NA	9/12/20	55450	NA	D	3	4	NA	714	P4.20	6/16/22	351.1	8/10/22	Set D REF 20026933	D03	D03	10.5	No	NA	10.5	0.28
Pig-55450-3-RecSwb-D2_S301	Rectal swab	55450.3	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	B	1	4	NA	672	P4.2	6/16/22	512.9	8/10/22	Set D REF 20026933	B01	B01	0.5	Yes	3.3	3.3	0.15
Pig-55450-3-RecSwb-D21_S292	Rectal swab	55450.3	55450	Pig	Day 21	No	3	NA	9/19/20	55450	NA	A	4	4	NA	729	P4.25	6/16/22	130.9	8/10/22	Set D REF 20026933	A04	A04	5.8	No	NA	5.8	0.14
Pig-55450-3-RecSwb-D4_S371	Rectal swab	55450.3	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	H	1	4	NA	686	P4.8	6/16/22	12.5	8/10/22	Set D REF 20026933	H01	H01	0.1	Yes	7.4	7.4	0.37
Pig-55450-3-RecSwb-D7_S361	Rectal swab	55450.3	55450	Pig	Day 7	No	3	NA	9/5/20	55450	NA	G	2	4	NA	700	P4.15	6/16/22	141.8	8/10/22	Set D REF 20026933	G02	G02	0.2	Yes	3.7	3.7	0.77
Pig-55450-4-RecSwb-D2_S313	Rectal swab	55450.4	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	C	1	4	NA	673	P4.3	6/16/22	47.6	8/10/22	Set D REF 20026933	C01	C01	1.8	No	NA	1.8	0.86
Pig-55450-4-RecSwb-D4_S290	Rectal swab	55450.4	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	A	2	4	NA	687	P4.9	6/16/22	33.5	8/10/22	Set D REF 20026933	A02	A02	9.7	No	NA	9.7	0.17
Pig-55450-5-RecSwb-D14_S339	Rectal swab	55450.5	55450	Pig	Day 14	No	3	NA	9/12/20	55450	NA	E	3	4	NA	716	P4.21	6/16/22	82.7	8/10/22	Set D REF 20026933	E03	E03	9.3	No	NA	9.3	0.42
Pig-55450-5-RecSwb-D2_S325	Rectal swab	55450.5	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	D	1	4	NA	674	P4.4	6/16/22	126.5	8/10/22	Set D REF 20026933	D01	D01	8.1	No	NA	8.1	0.31
Pig-55450-5-RecSwb-D21_S316	Rectal swab	55450.5	55450	Pig	Day 21	No	3	NA	9/19/20	55450	NA	C	4	4	NA	731	P4.27	6/16/22	74.8	8/10/22	Set D REF 20026933	C04	C04	2.6	No	NA	2.6	0.09
Pig-55450-5-RecSwb-D4_S314	Rectal swab	55450.5	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	C	2	4	NA	688	P4.11	6/16/22	7.9	8/10/22	Set D REF 20026933	C02	C02	9.7	No	NA	9.7	0.19
Pig-55450-5-RecSwb-D7_S372	Rectal swab	55450.5	55450	Pig	Day 7	No	3	NA	9/5/20	55450	NA	H	2	4	NA	702	P4.16	6/16/22	98.2	8/10/22	Set D REF 20026933	H02	H02	10	No	NA	10	0.13
Pig-55450-6-RecSwb-D14_S351	Rectal swab	55450.6	55450	Pig	Day 14	No	3	NA	9/12/20	55450	NA	F	3	4	NA	717	P4.22	6/16/22	280.3	8/10/22	Set D REF 20026933	F03	F03	15.1	No	NA	15.1	0.24
Pig-55450-6-RecSwb-D2_S337	Rectal swab	55450.6	55450	Pig	Day 2	No	3	NA	8/31/20	55450	NA	E	1	4	NA	675	P4.5	6/16/22	38.8	8/10/22	Set D REF 20026933	E01	E01	15.8	No	NA	15.8	0.29
Pig-55450-6-RecSwb-D21_S328	Rectal swab	55450.6	55450	Pig	Day 21	No	3	NA	9/19/20	55450	NA	D	4	4	NA	732	P4.28	6/16/22	107.6	8/10/22	Set D REF 20026933	D04	D04	2.8	No	NA	2.8	0.18
Pig-55450-6-RecSwb-D4_S326	Rectal swab	55450.6	55450	Pig	Day 4	No	3	NA	9/2/20	55450	NA	D	2	4	NA	689	P4.12	6/16/22	-0.2	8/10/22	Set D REF 20026933	D02	D02	3.9	No	NA	3.9	0.51
Pig-55450-6-RecSwb-D7_S291	Rectal swab	55450.6	55450	Pig	Day 7	No	3	NA	9/5/20	55450	NA	A	3	4	NA	703	P4.17	6/16/22	26.5	8/10/22	Set D REF 20026933	A03	A03	4.8	No	NA	4.8	0.2
