sampleName	parasiteSex	parasiteStrain	parasite_drugSensitivity_praziquantel	timepoint	rep	treatment	sampleAccession	runAccession	internalRunID
J12h_NMRI_2	juvenile	NMRI	refractory	12hr	2	1	ERS434828	ERR573000	12772_1#2
JCtl_NMRI_2	juvenile	NMRI	refractory	control	2	0	ERS434829	ERR573001	12772_1#3
M12h_NMRI_2	male	NMRI	suseptible	12hr	2	1	ERS434830	ERR573002	12772_1#4
MCtl_NMRI_2	male	NMRI	suseptible	control	2	0	ERS434831	ERR573003	12772_1#5
F12h_NMRI_2	female	NMRI	suseptible	12hr	2	1	ERS434832	ERR573004	12772_1#6
FCtl_NMRI_2	female	NMRI	suseptible	control	2	0	ERS434833	ERR573005	12772_1#7
X3h_NMRI_2	mixed	NMRI	suseptible	3hr	2	1	ERS434834	ERR573006	12772_1#8
X24h_NMRI_2	mixed	NMRI	suseptible	24hr	2	1	ERS434835	ERR573007	12772_1#9
J3h_NMRI_2	juvenile	NMRI	refractory	3hr	2	1	ERS434836	ERR573008	12772_1#10
J24h_NMRI_2	juvenile	NMRI	refractory	24hr	2	1	ERS434837	ERR573009	12772_1#11
M3h_NMRI_2	male	NMRI	suseptible	3hr	2	1	ERS434838	ERR573010	12772_1#12
M24h_NMRI_2	male	NMRI	suseptible	24hr	2	1	ERS434839	ERR573011	12772_1#13
F3h_NMRI_2	female	NMRI	suseptible	3hr	2	1	ERS434840	ERR573012	12772_1#14
F24h_NMRI_2	female	NMRI	suseptible	24hr	2	1	ERS434841	ERR573013	12772_1#15
X30m_NMRI_2	mixed	NMRI	suseptible	30min	2	1	ERS434842	ERR573014	12772_1#16
X12h_NMRI_2	mixed	NMRI	suseptible	12hr	2	1	ERS434843	ERR573015	12772_1#17
XCtl_NMRI_2	mixed	NMRI	suseptible	control	2	0	ERS434844	ERR573016	12772_1#18
M1h_LEPZQ_2	male	LEPZQ	resistant	1hr	2	1	ERS434845	ERR573017	12772_1#19
M12h_LEPZQ_2	male	LEPZQ	resistant	12hr	2	1	ERS434846	ERR573018	12772_1#20
MCtl_LEPZQ_2	male	LEPZQ	resistant	control	2	0	ERS434847	ERR573019	12772_1#21
F3h_LEPZQ_2	female	LEPZQ	resistant	3hr	2	1	ERS434848	ERR573020	12772_1#22
F24h_LEPZQ_2	female	LEPZQ	resistant	24hr	2	1	ERS434849	ERR573021	12772_1#23
X1h_LEPZQ_2	mixed	LEPZQ	resistant	1hr	2	1	ERS434850	ERR573022	12772_1#24
X12h_LEPZQ_2	mixed	LEPZQ	resistant	12hr	2	1	ERS434875	ERR573047	12790_1#1
XCtl_LEPZQ_2	mixed	LEPZQ	resistant	control	2	0	ERS434876	ERR573048	12790_1#2
M3h_LEPZQ_2	male	LEPZQ	resistant	3hr	2	1	ERS434877	ERR573049	12790_1#3
M24h_LEPZQ_2	male	LEPZQ	resistant	24hr	2	1	ERS434878	ERR573050	12790_1#4
F1h_LEPZQ_2	female	LEPZQ	resistant	1hr	2	1	ERS434879	ERR573051	12790_1#5
F12h_LEPZQ_2	female	LEPZQ	resistant	12hr	2	1	ERS434880	ERR573052	12790_1#6
FCtl_LEPZQ_2	female	LEPZQ	resistant	control	2	0	ERS434881	ERR573053	12790_1#7
X3h_LEPZQ_2	mixed	LEPZQ	resistant	3hr	2	1	ERS434882	ERR573054	12790_1#8
X24h_LEPZQ_2	mixed	LEPZQ	resistant	24hr	2	1	ERS434883	ERR573055	12790_1#9
XCtl_LE_2	mixed	LE	suseptible	control	2	0	ERS434884	ERR573056	12790_1#10
X24h_LE_2	mixed	LE	suseptible	24hr	2	1	ERS434885	ERR573057	12790_1#11
X12h_LE_2	mixed	LE	suseptible	12hr	2	1	ERS434886	ERR573058	12790_1#12
X3h_LE_2	mixed	LE	suseptible	3hr	2	1	ERS434887	ERR573059	12790_1#13
X1h_LE_2	mixed	LE	suseptible	1hr	2	1	ERS434888	ERR573060	12790_1#14
FCtl_LE_2	female	LE	suseptible	control	2	0	ERS434889	ERR573061	12790_1#15
F24h_LE_2	female	LE	suseptible	24hr	2	1	ERS434890	ERR573062	12790_1#16
F12h_LE_2	female	LE	suseptible	12hr	2	1	ERS434891	ERR573063	12790_1#17
F3h_LE_2	female	LE	suseptible	3hr	2	1	ERS434892	ERR573064	12790_1#18
F1h_LE_2	female	LE	suseptible	1hr	2	1	ERS434893	ERR573065	12790_1#19
MCtl_LE_2	male	LE	suseptible	control	2	0	ERS434894	ERR573066	12790_1#20
M24h_LE_2	male	LE	suseptible	24hr	2	1	ERS434895	ERR573067	12790_1#21
M12h_LE_2	male	LE	suseptible	12hr	2	1	ERS434896	ERR573068	12790_1#22
M3h_LE_2	male	LE	suseptible	3hr	2	1	ERS434897	ERR573069	12790_1#23
M1h_LE_2	male	LE	suseptible	1hr	2	1	ERS434898	ERR573070	12790_1#24
XCtl_NMRI_3	mixed	NMRI	suseptible	control	3	0	ERS434924	ERR578141	12842_1#1
X24h_NMRI_3	mixed	NMRI	suseptible	24hr	3	1	ERS434925	ERR578142	12842_1#2
X12h_NMRI_3	mixed	NMRI	suseptible	12hr	3	1	ERS434926	ERR578143	12842_1#3
X3h_NMRI_3	mixed	NMRI	suseptible	3hr	3	1	ERS434927	ERR578144	12842_1#4
X30m_NMRI_3	mixed	NMRI	suseptible	30min	3	1	ERS434928	ERR578145	12842_1#5
FCtl_NMRI_3	female	NMRI	suseptible	control	3	0	ERS434929	ERR578146	12842_1#6
F24h_NMRI_3	female	NMRI	suseptible	24hr	3	1	ERS434930	ERR578147	12842_1#7
F12h_NMRI_3	female	NMRI	suseptible	12hr	3	1	ERS434931	ERR578148	12842_1#8
F3h_NMRI_3	female	NMRI	suseptible	3hr	3	1	ERS434932	ERR578149	12842_1#9
MCtl_NMRI_3	male	NMRI	suseptible	control	3	0	ERS434933	ERR578150	12842_1#10
M24h_NMRI_3	male	NMRI	suseptible	24hr	3	1	ERS434934	ERR578151	12842_1#11
M12h_NMRI_3	male	NMRI	suseptible	12hr	3	1	ERS434935	ERR578152	12842_1#12
M3h_NMRI_3	male	NMRI	suseptible	3hr	3	1	ERS434936	ERR578153	12842_1#13
JCtl_NMRI_3	juvenile	NMRI	refractory	control	3	0	ERS434937	ERR578154	12842_1#14
J24h_NMRI_3	juvenile	NMRI	refractory	24hr	3	1	ERS434938	ERR578155	12842_1#15
J12h_NMRI_3	juvenile	NMRI	refractory	12hr	3	1	ERS434939	ERR578156	12842_1#16
J3h_NMRI_3	juvenile	NMRI	refractory	3hr	3	1	ERS434940	ERR578157	12842_1#17
J30m_NMRI_3	juvenile	NMRI	refractory	30min	3	1	ERS434941	ERR578158	12842_1#18
M3h_LE_3	male	LE	suseptible	3hr	3	1	ERS434942	ERR578159	12842_1#19
M24h_LE_3	male	LE	suseptible	24hr	3	1	ERS434943	ERR578160	12842_1#20
F1h_LE_3	female	LE	suseptible	1hr	3	1	ERS434944	ERR578161	12842_1#21
F12h_LE_3	female	LE	suseptible	12hr	3	1	ERS434945	ERR578162	12842_1#22
FCtl_LE_3	female	LE	suseptible	control	3	0	ERS434946	ERR578163	12842_1#23
X3h_LE_3	mixed	LE	suseptible	3hr	3	1	ERS434947	ERR578164	12842_1#24
X24h_LE_3	mixed	LE	suseptible	24hr	3	1	ERS435025	ERR582488	12869_1#1
M1h_LE_3	male	LE	suseptible	1hr	3	1	ERS435026	ERR582489	12869_1#2
M12h_LE_3	male	LE	suseptible	12hr	3	1	ERS435027	ERR582490	12869_1#3
MCtl_LE_3	male	LE	suseptible	control	3	0	ERS435028	ERR582491	12869_1#4
F3h_LE_3	female	LE	suseptible	3hr	3	1	ERS435029	ERR582492	12869_1#5
F24h_LE_3	female	LE	suseptible	24hr	3	1	ERS435030	ERR582493	12869_1#6
X1h_LE_3	mixed	LE	suseptible	1hr	3	1	ERS435031	ERR582494	12869_1#7
X12h_LE_3	mixed	LE	suseptible	12hr	3	1	ERS435032	ERR582495	12869_1#8
XCtl_LE_3	mixed	LE	suseptible	control	3	0	ERS435033	ERR582496	12869_1#9
M1h_LEPZQ_3	male	LEPZQ	resistant	1hr	3	1	ERS435034	ERR582497	12869_1#10
M12h_LEPZQ_3	male	LEPZQ	resistant	12hr	3	1	ERS435035	ERR582498	12869_1#11
MCtl_LEPZQ_3	male	LEPZQ	resistant	control	3	0	ERS435036	ERR582499	12869_1#12
F3h_LEPZQ_3	female	LEPZQ	resistant	3hr	3	1	ERS435037	ERR582500	12869_1#13
F24h_LEPZQ_3	female	LEPZQ	resistant	24hr	3	1	ERS435038	ERR582501	12869_1#14
X1h_LEPZQ_3	mixed	LEPZQ	resistant	1hr	3	1	ERS435039	ERR582502	12869_1#15
X12h_LEPZQ_3	mixed	LEPZQ	resistant	12hr	3	1	ERS435040	ERR582503	12869_1#16
XCtl_LEPZQ_3	mixed	LEPZQ	resistant	control	3	0	ERS435041	ERR582504	12869_1#17
M3h_LEPZQ_3	male	LEPZQ	resistant	3hr	3	1	ERS435042	ERR582505	12869_1#18
M24h_LEPZQ_3	male	LEPZQ	resistant	24hr	3	1	ERS435043	ERR582506	12869_1#19
F1h_LEPZQ_3	female	LEPZQ	resistant	1hr	3	1	ERS435044	ERR582507	12869_1#20
F12h_LEPZQ_3	female	LEPZQ	resistant	12hr	3	1	ERS435045	ERR582508	12869_1#21
FCtl_LEPZQ_3	female	LEPZQ	resistant	control	3	0	ERS435046	ERR582509	12869_1#22
X3h_LEPZQ_3	mixed	LEPZQ	resistant	3hr	3	1	ERS435047	ERR582510	12869_1#23
X24h_LEPZQ_3	mixed	LEPZQ	resistant	24hr	3	1	ERS435048	ERR582511	12869_1#24
