sample	description	source	host_species	host_common_name	cell_line	subject_status	tissue_cell_type	treatment	virus_strain	timepoint_postTreament	GEO_accession
Series9_NHBE_IFNB_12h_2	IFN_12_2	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	12hrs	GSM4462380
Series15_HealthyLungBiopsy_2	Lung25220-77yearsold-male-GB1-indD11	Lung biopsy for heatly negative control	homo_sapiens	human	NA	healthy 77 years old, male	Lung Biopsy	NA	NA	NA	GSM4462413
Series15_HealthyLungBiopsy_1	Lunng8-22839-72yearsold-male-GB2-indD12	Lung biopsy for heatly negative control	homo_sapiens	human	NA	healthy 72 years old, male	Lung Biopsy	NA	NA	NA	GSM4462414
Series15_COVID19Lung_2	COVID-1-Cornell-indexC10	Lung sample from postmortem COVID-19 patient	homo_sapiens	human	NA	COVID-19 deceased patient, >60 years old male 	Lung Biopsy	NA	NA	NA	GSM4462415
Series15_COVID19Lung_1	COVID-2-Cornell-indexC11	Lung sample from postmortem COVID-19 patient	homo_sapiens	human	NA	COVID-19 deceased patient, >60 years old male 	Lung Biopsy	NA	NA	NA	GSM4462416
Series16_A549-ACE2_Mock_1	BN1-indexA1	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	NA	GSM4486157
Series16_A549-ACE2_Mock_2	BN2-indexA2	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	NA	GSM4486158
Series16_A549-ACE2_Mock_3	BN3-IndexA3	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	NA	GSM4486159
Series16_A549-ACE2_SARS-CoV-2_1	BN4-indexA4	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486160
Series16_A549-ACE2_SARS-CoV-2_2	BN5-indexA5	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486161
Series16_A549-ACE2_SARS-CoV-2_3	BN6-indexA6	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486162
Series16_A549-ACE2_SARS-CoV-2_Rux_1	BN7-indexA7	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2 (1hr after Ruxolitinib pre-treatment)	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	1hr Ruxolitinib pretreat + SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486163
Series16_A549-ACE2_SARS-CoV-2_Rux_2	BN8-indexA8	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2 (1hr after Ruxolitinib pre-treatment)	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	1hr Ruxolitinib pretreat + SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486164
Series16_A549-ACE2_SARS-CoV-2_Rux_3	BN9-indexA9	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2 (1hr after Ruxolitinib pre-treatment)	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	1hr Ruxolitinib pretreat + SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4486165
Series10_FerretNW_Ctl_d1_1	MfNL_Gr4_d1_870	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day1	GSM4462381
Series10_FerretNW_Ctl_d1_2	MfNL_Gr4_d1_873	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day1	GSM4462382
Series10_FerretNW_SARS-CoV-2_d1_1	MfNL_Gr2_d1_872	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day1	GSM4462383
Series10_FerretNW_SARS-CoV-2_d1_2	MfNL_Gr3_d1_877	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day1	GSM4462384
Series11_FerretNW_Ctl_d3_1	MfNL_Gr4_d3_870	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day3	GSM4462385
Series11_FerretNW_Ctl_d3_2	MfNL_Gr4_d3_873	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day3	GSM4462386
Series11_FerretNW_SARS-CoV-2_d3_1	MfNL_Gr2_d3_872	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462387
Series11_FerretNW_SARS-CoV-2_d3_2	MfNL_Gr3_d3_877	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462388
Series12_FerretNW_Ctl_d7_1	Mf_NL_Gr4_d7_870	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day7	GSM4462389
Series12_FerretNW_Ctl_d7_2	Mf_NL_Gr4_d7_873	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day7	GSM4462390
Series12_FerretNW_SARS-CoV-2_d7_1	Mf_NL_Gr3_d7_376	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day7	GSM4462391
Series12_FerretNW_SARS-CoV-2_d7_2	Mf_NL_Gr3_d7_877	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day7	GSM4462392
Series12_FerretNW_IAV_d7_1	pH1N1-d7-nw-F5572	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	IAV infected (1E5 PFU)	A/California/04/2009 (pH1N1)	day7	GSM4462393
Series12_FerretNW_IAV_d7_2	pH1N1-d7-nw-F5576	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	IAV infected (1E5 PFU)	A/California/04/2009 (pH1N1)	day7	GSM4462394
Series13_FerretNW_Ctl_d14_1	Naive-F873-14dpi-indexF9	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day14	GSM4462395
Series13_FerretNW_Ctl_d14_2	Naive-F873-B-14dpi-indexF7	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	Mock treatment	NA	day14	GSM4462396
Series13_FerretNW_SARS-CoV-2_d14_1	USA-WA1-2020-F876-14dpi-indexE7	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day14	GSM4462397
Series13_FerretNW_SARS-CoV-2_d14_2	USA-WA1-2020-F877-14dpi-indexE9	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	Nasal Wash	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day14	GSM4462398
Series14_FerretTrachea_Ctl_d3_1	Mf-trachea-mock-3d-F751	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	Mock treatment	NA	day3	GSM4462399
Series14_FerretTrachea_Ctl_d3_2	Mf-trachea-mock-3d-F752	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	Mock treatment	NA	day3	GSM4462400
Series14_FerretTrachea_Ctl_d3_3	Mf-trachea-naive-3d-F751	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	Mock treatment	NA	day3	GSM4462401
Series14_FerretTrachea_Ctl_d3_4	Mf-trachea-naive-3d-F752	Mock treated 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	Mock treatment	NA	day3	GSM4462402
Series14_FerretTrachea_SARS-CoV-2_d3_1	Mf-Tr-16	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462403
Series14_FerretTrachea_SARS-CoV-2_d3_2	Mf-Tr-17	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462404
Series14_FerretTrachea_SARS-CoV-2_d3_3	Mf-Tr-18	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462405
Series14_FerretTrachea_SARS-CoV-2_d3_4	Mf-Tr-19	SARS-CoV-2 infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	SARS-CoV-2 infected (5E4 PFU)	USA-WA1/2020	day3	GSM4462406
Series14_FerretTrachea_IAV_d3_1	Mf-trachea-H3N2-3d-F531-1	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462407
Series14_FerretTrachea_IAV_d3_2	Mf-trachea-H3N2-3d-F531-2	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462408
Series14_FerretTrachea_IAV_d3_3	Mf-trachea-H3N2-3d-F532-1	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462409
Series14_FerretTrachea_IAV_d3_4	Mf-trachea-H3N2-3d-F532-2	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462410
Series14_FerretTrachea_IAV_d3_5	Mf-trachea-H3N2-3d-F533-1	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462411
Series14_FerretTrachea_IAV_d3_6	Mf-trachea-H3N2-3d-F533-2	IAV infected 4 month old Ferret	Mustela_putorius_furo	ferret	NA	NA	trachea	IAV infected (1E5 PFU)	A/Texas/71/2017, clade 3C.3a (H3N2)	day3	GSM4462412
